,qnum,name,coordinates,birth location,birth country,img
182,Q174614,Carlo Ancelotti,"(44.916666666, 10.816666666)",Reggiolo,Italy,http://commons.wikimedia.org/wiki/Special:FilePath/Carlo%20Ancelotti%202016%20%28cropped%29.jpg
183,Q487459,Arda Turan,"(41.0225, 28.940833333)",Fatih,Turkey,http://commons.wikimedia.org/wiki/Special:FilePath/AUT%20vs.%20TUR%202016-03-29%20%28283%29.jpg
184,Q70550,Per Mertesacker,"(52.374444444, 9.738611111)",Hanover,Germany,http://commons.wikimedia.org/wiki/Special:FilePath/FIFA%20WC-qualification%202014%20-%20Austria%20vs.%20Germany%202012-09-11%20-%20Per%20Mertesacker%2001%20%28cropped%29.JPG
185,Q50603,Park Ji-sung,"(37.56, 126.99)",Seoul,South Korea,http://commons.wikimedia.org/wiki/Special:FilePath/Park%20Ji-sung%20G20%20Seoul%20Summit%20Ambassador.jpg
186,Q248141,Maya Yoshida,"(32.966666666, 129.8)",Nagasaki Prefecture,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/Yoshida%20Maya%20blr.jpg
187,Q776878,Takumi Minamino,"(34.406666666, 135.3275)",Izumisano,Japan,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Admira%20Wacker%20M%C3%B6dling%20vs.%20FC%20Red%20Bull%20Salzburg%202018-04-15%20%28061%29.jpg
188,Q10602,Ashley Young,"(51.901666666, -0.201944444)",Stevenage,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Ashley%20Young%202018-06-13%201.jpg
189,Q29516,Theo Walcott,"(51.617, -0.325)",Stanmore,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20Walcott%20happy%20with%20his%20goal%21%201%20%2816501335572%29.jpg
190,Q29566,Michael Carrick,"(54.991280555, -1.5311)",Wallsend,United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Carrick%20cropped.jpg
191,Q184177,Thomas Vermaelen,"(51.221111111, 4.399722222)",Antwerp,Belgium,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas-vermaelen-3.jpg
192,Q163974,Rafael van der Vaart,"(52.516666666, 4.666666666)",Heemskerk,Netherlands,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20van%20der%20Vaart%202011.jpg
194,Q1938,Bacary Sagna,"(48.197222222, 3.283333333)",Sens,France,http://commons.wikimedia.org/wiki/Special:FilePath/Bacary%20Sagna%202012.jpg
195,Q13308,Samuel Umtiti,"(3.857777777, 11.518055555)",Yaoundé,Cameroon,http://commons.wikimedia.org/wiki/Special:FilePath/Samuel%20Umtiti%202018.jpg
